patient,feature,perm_mean,perm_std,perm_rank,gain_norm
Pt8,kurtosis,0.0,0.0,30,0.0018488273794933557
Pt8,line_length,0.02407407407407407,0.004536092116265164,6,0.014206163017295735
Pt8,mean_abs_diff,0.011111111111111049,0.0037037037037037203,11,0.002551387179126034
Pt8,std_diff,0.0,0.0,20,0.0015338727899307002
Pt8,max_abs_diff,-0.0037037037037036757,0.00453609211626511,33,0.004434979645735314
Pt8,zero_cross_rate,-0.0037037037037036757,0.00453609211626511,32,0.0017100510490950834
Pt8,hjorth_mobility,0.0,0.0,22,0.0025329453519013973
Pt8,hjorth_complexity,-0.005555555555555513,0.004536092116265111,36,0.004762125722187128
Pt8,peaks_gt_0.1max,0.03703703703703702,0.013094570021973083,2,0.02706831404301011
Pt8,peaks_gt_0.2max,0.0,0.0,23,0.00023301795914277553
Pt8,peaks_gt_0.3max,0.0,0.0,24,0.0008520178903858511
Pt8,peaks_gt_0.5max,0.0,0.0,25,0.0011898622222199836
Pt8,autocorr_1,0.02962962962962965,0.0037037037037037203,3,0.007722220153299991
Pt8,autocorr_5,-0.005555555555555513,0.004536092116265111,39,0.0027381566688681725
Pt8,autocorr_10,0.0037037037037036757,0.00453609211626511,15,0.005443844881436557
Pt8,autocorr_20,0.0,0.0,19,0.00308600042759607
Pt8,autocorr_50,-0.0037037037037036978,0.009442628728875491,35,0.01301205751952101
Pt8,autocorr_100,0.01851851851851849,0.005856069741052581,7,0.009387973812039844
Pt8,spectral_entropy,0.0,0.0,18,0.0010663047481223023
Pt8,spectral_centroid,0.0,0.0,21,0.0011361637066273464
Pt8,median_freq,0.0018518518518518378,0.0037037037037036757,17,0.0013657693319643197
Pt8,dominant_freq,0.0037037037037036757,0.00453609211626511,14,0.010041674316018934
Pt8,bandpower_16_40,0.0,0.0,26,0.0035396985966696126
Pt8,bandpower_40_80,0.0,0.0,28,0.003345196046767794
Pt8,bandpower_80_125,-0.007407407407407351,0.0037037037037036757,43,0.0058897648300439065
Pt8,bandpower_125_250,0.0,0.0,27,0.0035038723932436623
Pt8,bandpower_250_500,0.02592592592592593,0.0037037037037037208,5,0.005084147326683023
Pt8,hf_lf_ratio,-0.005555555555555513,0.004536092116265111,40,0.00117787332593563
Pt8,veryhf_ratio,0.02777777777777779,0.0,4,0.006203949930454265
Pt8,teager_mean_abs,-0.005555555555555513,0.004536092116265111,38,0.00297820260616984
Pt8,teager_std,-0.005555555555555513,0.004536092116265111,37,0.007044043769006687
Pt9,mean,0.0,0.0,8,0.0045475383638478705
Pt9,std,-0.01212121212121211,0.006060606060606055,41,0.18468948680857722
Pt9,rms,0.0,0.0,7,0.0855438132046807
Pt9,ptp,0.16731601731601733,0.0419299323354056,1,0.4277337049144134
Pt9,max_abs,0.0,0.0,16,0.010499454563405971
Pt9,median_abs,0.0,0.0,6,0.007172544885496299
Pt9,abs_q75,0.0,0.0,5,0.006510849593497694
Pt9,abs_q90,0.0,0.0,10,0.004748610221037533
Pt9,abs_q95,0.03463203463203461,0.009824074214640873,2,0.027447826465954003
Pt9,abs_q99,-0.015151515151515138,0.0,43,0.0628811708276334
Pt9,mad,0.0,0.0,12,5.104316507223423e-05
Pt9,skew,0.0,0.0,11,0.008465350133185653
Pt9,kurtosis,0.0,0.0,14,0.0016815685770985341
Pt9,line_length,0.027272727272727247,0.017669551196500894,4,0.012387246547137746
Pt9,mean_abs_diff,0.0,0.0,9,0.005216108865443683
Pt9,std_diff,0.0,0.0,13,0.001262742891973114
Pt9,max_abs_diff,-0.01212121212121211,0.006060606060606055,42,0.007145671358822172
Pt9,zero_cross_rate,0.0,0.0,15,0.0014613985320514398
Pt9,hjorth_mobility,0.0,0.0,20,0.005533332124315544
Pt9,hjorth_complexity,0.0,0.0,19,0.002790348980303734
Pt9,peaks_gt_0.1max,0.033333333333333305,0.017669551196500894,3,0.02658928350803382
Pt9,peaks_gt_0.2max,0.0,0.0,22,0.00038178241794698035
Pt9,peaks_gt_0.3max,0.0,0.0,21,0.0010504141292733578
Pt9,peaks_gt_0.5max,0.0,0.0,23,0.0007627012357071602
Pt9,autocorr_1,0.0,0.0,24,0.007347016527760022
Pt9,autocorr_5,0.0,0.0,18,0.0018775511943946055
